Address,CaseNumber,CrimeAgainst,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseType,OpenDataLat,OpenDataLon,ReportDate,OffenseCount
600 BLOCK OF N WEBSTER ST,21-901433,Property,Humboldt,1/20/2021,2200,Vandalism,Vandalism,45.559771921,-122.673472164,1/21/2021,1
600 BLOCK OF NE 12TH AVE,21-21823,Property,Kerns,1/22/2021,0853,Burglary,Burglary,45.527597589,-122.653628854,1/22/2021,1
600 BLOCK OF NE 12TH AVE,21-49021,Property,Kerns,2/22/2021,1902,Burglary,Burglary,45.527597589,-122.653628854,2/23/2021,1
600 BLOCK OF NE 12TH AVE,21-901842,Property,Kerns,1/19/2021,1500,Larceny Offenses,Theft From Motor Vehicle,45.527597589,-122.653628854,1/26/2021,1
600 BLOCK OF NE 16TH AVE,21-76269,Person,Kerns,3/22/2021,0155,Assault Offenses,Aggravated Assault,45.527568004,-122.649494018,3/22/2021,1
600 BLOCK OF NE 16TH AVE,21-76269,Property,Kerns,3/22/2021,0155,Vandalism,Vandalism,45.527568004,-122.649494018,3/22/2021,1
600 BLOCK OF NE 16TH AVE,21-76269,Society,Kerns,3/22/2021,0155,Weapon Law Violations,Weapons Law Violations,45.527568004,-122.649494018,3/22/2021,1
600 BLOCK OF NE 19TH AVE,21-53955,Property,Kerns,2/28/2021,0508,Burglary,Burglary,45.527565285,-122.646410222,2/28/2021,1
600 BLOCK OF NE 20TH AVE,21-6912,Property,Kerns,12/24/2020,2339,Burglary,Burglary,45.527559475,-122.645399021,1/8/2021,1
600 BLOCK OF NE 20TH AVE,21-46378,Person,Kerns,2/20/2021,1340,Assault Offenses,Aggravated Assault,45.527559475,-122.645399021,2/20/2021,1
600 BLOCK OF NE 23RD AVE,21-905057,Property,Kerns,3/7/2021,0140,Larceny Offenses,Theft From Motor Vehicle,45.527501230,-122.642344362,3/18/2021,1
600 BLOCK OF NE 47TH AVE,21-17223,Property,North Tabor,1/17/2021,0200,Robbery,Robbery,45.527145042,-122.615065988,1/19/2021,1
600 BLOCK OF NE 61ST PL,21-33492,Property,North Tabor,2/5/2021,1030,Vandalism,Vandalism,45.527483203,-122.600218528,2/5/2021,1
600 BLOCK OF NE 61ST PL,21-47771,Property,North Tabor,2/18/2021,1100,Motor Vehicle Theft,Motor Vehicle Theft,45.527483203,-122.600218528,2/22/2021,1
